City,Card Type,Exp Type,Gender,Amount
Delhi,Gold,Bills,F,82475
Greater,Platinum,Bills,F,32555
Bengaluru,Silver,Bills,F,101738
Greater,Signature,Bills,F,123424
Bengaluru,Gold,Bills,F,171574
Delhi,Silver,Bills,F,100036
Delhi,Gold,Bills,F,143250
Greater,Platinum,Bills,F,150980
Delhi,Silver,Bills,F,192247
Delhi,Platinum,Bills,F,67932
Delhi,Platinum,Bills,F,280061
Greater,Signature,Bills,F,278036
Greater,Gold,Bills,F,19226
Delhi,Signature,Bills,F,254359
Greater,Signature,Bills,F,302834
Greater,Platinum,Bills,F,647116
Greater,Signature,Bills,F,421878
Greater,Gold,Bills,F,986379
Greater,Platinum,Bills,F,213047
Greater,Platinum,Bills,F,735566
Delhi,Signature,Bills,F,366102
Delhi,Signature,Bills,F,809623
Greater,Silver,Bills,F,467014
Ahmedabad,Gold,Bills,F,668568
Ahmedabad,Gold,Bills,F,339112
Delhi,Silver,Bills,F,622170
Bengaluru,Platinum,Bills,F,434427
Greater,Signature,Bills,F,655846
Bengaluru,Platinum,Bills,F,987935
Delhi,Gold,Bills,F,702774
Bengaluru,Signature,Bills,F,225392
Greater,Gold,Bills,F,296573
Ahmedabad,Platinum,Bills,F,227702
Ahmedabad,Gold,Bills,F,864090
Ahmedabad,Signature,Bills,F,440605
Ahmedabad,Platinum,Bills,F,954660
Ahmedabad,Signature,Bills,F,255577
Ahmedabad,Silver,Bills,F,337352
Ahmedabad,Platinum,Bills,F,660244
Delhi,Silver,Bills,F,401351
Delhi,Platinum,Bills,F,678842
Delhi,Gold,Bills,F,478861
Bengaluru,Platinum,Bills,F,804938
Delhi,Silver,Bills,F,888341
Bengaluru,Platinum,Bills,F,262414
Bengaluru,Gold,Bills,F,249353
Ahmedabad,Gold,Bills,F,892016
Ahmedabad,Platinum,Bills,F,313626
Greater,Gold,Bills,F,314366
Greater,Signature,Bills,F,551340
Delhi,Signature,Bills,F,735037
Greater,Platinum,Bills,F,574023
Ahmedabad,Signature,Bills,F,402300
Delhi,Signature,Bills,F,733125
Greater,Signature,Bills,F,545977
Bengaluru,Silver,Bills,F,371572
Ahmedabad,Signature,Bills,F,326283
Delhi,Platinum,Bills,F,279051
Delhi,Platinum,Bills,F,900101
Ahmedabad,Silver,Bills,F,545286
Delhi,Platinum,Bills,F,722587
Bengaluru,Platinum,Bills,F,411062
Delhi,Platinum,Bills,F,660910
Greater,Signature,Bills,F,557370
Greater,Platinum,Bills,F,549794
Delhi,Platinum,Bills,F,340133
Bengaluru,Gold,Bills,F,265417
Greater,Platinum,Bills,F,358185
Greater,Gold,Bills,F,991685
Greater,Gold,Bills,F,533762
Greater,Gold,Bills,F,829742
Delhi,Silver,Bills,F,441527
Delhi,Signature,Bills,F,550782
Greater,Platinum,Bills,F,835872
Ahmedabad,Silver,Bills,F,540497
Greater,Platinum,Bills,F,525977
Greater,Gold,Bills,F,789393
Greater,Platinum,Bills,F,689478
Bengaluru,Silver,Bills,F,499079
Ahmedabad,Platinum,Bills,F,665107
Greater,Platinum,Bills,F,998077
Ahmedabad,Silver,Bills,F,934205
Bengaluru,Platinum,Bills,F,823426
Ahmedabad,Signature,Bills,F,282910
Bengaluru,Gold,Bills,F,418675
Ahmedabad,Silver,Bills,F,804949
Bengaluru,Gold,Bills,F,686601
Greater,Silver,Bills,F,561220
Greater,Gold,Bills,F,762534
Bengaluru,Gold,Bills,F,327947
Bengaluru,Gold,Bills,F,492986
Delhi,Signature,Bills,F,369237
Bengaluru,Platinum,Bills,F,983839
Ahmedabad,Gold,Bills,F,776716
Greater,Gold,Bills,F,664632
Bengaluru,Gold,Bills,F,466727
Bengaluru,Gold,Bills,F,896384
Delhi,Signature,Bills,F,712001
Greater,Silver,Bills,F,246865
Greater,Signature,Bills,F,858729
Delhi,Platinum,Bills,F,581882
Greater,Signature,Bills,F,646426
Bengaluru,Silver,Bills,F,687088
Bengaluru,Signature,Bills,F,973026
Greater,Silver,Bills,F,944398
Ahmedabad,Platinum,Bills,F,414422
Bengaluru,Signature,Bills,F,408503
Bengaluru,Signature,Bills,F,984466
Greater,Gold,Bills,F,919997
Greater,Signature,Bills,F,535101
Greater,Signature,Bills,F,978301
Greater,Gold,Bills,F,880406
Ahmedabad,Silver,Bills,F,447241
Bengaluru,Platinum,Bills,F,382191
Bengaluru,Silver,Bills,F,775859
Bengaluru,Platinum,Bills,F,832637
Bengaluru,Platinum,Bills,F,458526
Ahmedabad,Signature,Bills,F,440995
Ahmedabad,Platinum,Bills,F,490128
Delhi,Platinum,Bills,F,897079
Delhi,Gold,Bills,F,431948
Bengaluru,Silver,Bills,F,228072
Delhi,Gold,Bills,F,757649
Delhi,Signature,Bills,F,919877
Greater,Gold,Bills,F,605615
